,Name,Industry,Sector,Headquarters,Founded,Notes
135,Mercuria Energy Group,Industrials,Delivery services,Geneva,2004,Commodity trading
136,Métro Lausanne–Ouchy,Industrials,Railroads,Lausanne,1877,Defunct rail line
137,Mettler Toledo,Industrials,Electronic equipment,Greifensee,1989,Scientific instruments
138,Mido,Consumer goods,Clothing & accessories,Le Locle,1918,"Watches, part of The Swatch Group"
139,Migros,Consumer services,Food retailers & wholesalers,Zürich,1925,Supermarkets
140,Mövenpick Hotels & Resorts,Consumer services,Hotels,Zürich,1973,"Hospitality, tourism"
141,MSC Cruises,Consumer services,Travel & tourism,Geneva,1960,Cruises
142,Nestlé,Consumer goods,Food & beverage,Vevey,1866,Food processing
143,Nobel Biocare,Health care,Medical equipment,Zürich,1981,Dental products
144,Nord Stream AG,Oil & gas,Pipelines,Zug,2005,Gas pipeline
145,Novartis,Health care,Pharmaceuticals,Basel,1996,Pharmaceuticals
146,Obersee Nachrichten,Consumer services,Publishing,Rapperswil,1981,Weekly newspaper
147,OC Oerlikon,Industrials,Industrial suppliers,Pfäffikon,1973,Engineering and fibers
148,Omega SA,Consumer goods,Clothing & accessories,Biel/Bienne,1903,"Watches, part of The Swatch Group"
149,Oscilloquartz,Technology,Telecommunications equipment,Saint-Blaise,1949,Telecom technology
150,Panalpina,Industrials,Delivery services,Basel,1935,Logistics
151,Patek Philippe & Co.,Consumer goods,Clothing & accessories,Plan-les-Ouates,1839,Watches
152,Pelikan,Consumer goods,Nondurable household products,Feusisberg,1832,Writing instruments
153,Piaget SA,Consumer goods,Clothing & accessories,Geneva,1874,"Watches and jewelry, part of Richemont"
154,Pilatus Aircraft,Industrials,Aerospace,Stans,1939,Aircraft manufacturer
155,PLATIT,Industrials,Industrial machinery,Selzach,1992,Coating equipment
156,PrivatAir,Consumer services,Airlines,Meyrin,1977,"Charter airline, defunct 2018"
157,Radio Zürisee,Consumer services,Broadcasting & entertainment,Rapperswil,1983,Radio
158,Rado,Consumer goods,Clothing & accessories,Lengnau,1917,"Watches, part of The Swatch Group"
159,Rehau Group,Industrials,Industrial suppliers,"Muri, Bern",1948,Polymer-based products supplier
160,Repower,Utilities,Alternative electricity,Brusio,1904,Wind and hydro power
161,Richemont,Consumer goods,Clothing & accessories,Bellevue,1988,Luxury goods
162,Rieter,Industrials,Industrial machinery,Winterthur,1795,Textile machinery and automobile components
163,Ringier,Consumer services,Broadcasting & entertainment,Zürich,1833,Mass media
164,Rivella,Consumer goods,Soft drinks,Rothrist[8],1952,Beverages
165,Roger Dubuis,Consumer goods,Clothing & accessories,Geneva,1995,"Watches and jewelry, part of Richemont"
166,Rolex,Consumer goods,Clothing & accessories,Geneva,1905,Watches
167,RosUkrEnergo,Industrials,Delivery services,Zug[9],2004,Gas transportation
168,Rotpunktverlag,Consumer services,Publishing,Zürich,1976,Publishing house
169,SAPAL,Industrials,Containers & packaging,Lausanne,1906,Defunct 1989
170,Saurer,Industrials,Commercial vehicles & trucks,Arbon,1903,"Trucks and buses, defunct 1982"
171,Schindler Group,Industrials,Industrial machinery,Lucerne,1874,Escalators and elevators
172,Sig Holding AG,Industrials,Containers & packaging,Neuhausen am Rheinfall,1860,Packaging
173,Securitas,Industrials,Business support services,Zollikofen,1907,Security
174,Selecta,Consumer services,Specialty retailers,Kirchberg,1957,Vending company
175,Serono,Health care,Biotechnology,Geneva,1906,Biotechnology
176,Sersa Group,Industrials,Transportation services,Neuchâtel,1948,Railtrack construction and maintenance
177,SGS S.A.,Industrials,Business support services,Geneva,1878,"Inspection, verification, testing and certification services"
178,Sigg,Industrials,Containers & packaging,Frauenfeld,1908,Bottle manufacturer
179,Sihltal Zürich Uetliberg Bahn,Industrials,Railroads,Zürich,1875,Railway
180,Sika AG,Basic materials,Specialty chemicals,Baar,1910,Speciality chemicals
181,Sinitus,Financials,Asset managers,Küsnacht,1992,Financial services
182,SITA,Technology,Computer hardware,Geneva,1949,IT and communication services
183,SkyWork Airlines,Consumer services,Airlines,Belp,1983,Airline
184,Sonova,Health care,Medical equipment,Stäfa,1947,Hearing instruments
185,ST-Ericsson,Technology,Semiconductors,Geneva,2009,"Semiconductors, defunct 2013"
186,Stadler Rail,Industrials,Commercial vehicles & trucks,Bussnang,1942,Rail car manufacturer
187,Stäubli,Industrials,Industrial machinery,Pfäffikon,1892,"Textile machinery, connectors and robotics"
188,STMicroelectronics,Technology,Semiconductors,Geneva,1957,Semiconductors
189,Südostbahn,Industrials,Railroads,St. Gallen,2001,Railways
190,Sulzer,Industrials,Diversified industrials,Winterthur,1834,Industrials and engineering
191,Sunrise Communications AG,Telecommunications,Fixed line telecommunications,Zürich,2000,Telecom
192,Sunstar Group,Consumer Goods/Engineered Components,"Dental, Cosmetic, Automotive",Zürich,2002,"Japanese founded 1932, moved to Zurich in 2002"
193,Suva,Financials,Life insurance,Lucerne,1912,Health insurance
194,Swatch,Consumer goods,Clothing & accessories,Biel/Bienne,1983,"Watches, part of The Swatch Group"
195,Swiss Bank Corporation,Financials,Banks,Basel,1854,The merger with Union Bank of Switzerland created UBS
196,SBB-CFF-FFS,Industrials,Railroads,Bern,1902,State railway
197,SwissGear,Consumer goods,Clothing & accessories,Delémont,2002,Part of Wenger SA
198,Swiss Global Air Lines (SWISS),Consumer services,Airlines,Kloten,2005,"Airline, part of Swiss International Air Lines, defunct 2018"
199,Swiss International Air Lines (SWISS),Consumer services,Airlines,Basel,2002,"Airline, part of Lufthansa (Germany)"
200,Swiss Life,Financials,Life insurance,Zürich,1857,Life insurance
201,Swiss National Bank,Financials,Banks,Bern,1906,Central bank
202,Swiss Private Aviation,Consumer services,Airlines,Kloten,1984,"Aviation services, part of Swiss International Air Lines"
203,Swiss Re,Financials,Reinsurance,Zürich,1863,Reinsurance
204,Swissair,Consumer services,Airlines,Kloten,1931,"Airline, defunct 2002"
205,Swisscom,Telecommunications,Fixed line telecommunications,Ittigen,1997,Telecommunications
206,Swissport,Industrials,Transportation services,Opfikon,1996,Service company to airlines and airports
207,Syngenta,Consumer goods,Farming & fishing,Basel,2000,Seeds and pesticides
208,TAG Heuer,Consumer goods,Clothing & accessories,La Chaux-de-Fonds,1860,Watches
209,Tamedia,Consumer services,Publishing,Zürich,1893,"Newspapers, magazines"
210,TE Connectivity,Industrials,Electronic equipment,Schaffhausen,2007,Electronics
211,Tecan,Health care,Medical equipment,Männedorf,1980,Laboratory instruments
212,Tetra Pak,Industrials,Containers & packaging,Pully,1943,Food packaging
213,The Adecco Group,Industrials,Business training & employment agencies,Opfikon,1996,Staffing
214,The Pictet Group,Financials,Banks,Geneva,1805,Private banking
215,The Swatch Group,Consumer goods,Clothing & accessories,Biel/Bienne,1983,"Watches, holding company"
216,Tissot,Consumer goods,Clothing & accessories,Le Locle,1853,"Watches, part of The Swatch Group"
217,Trafigura,Financials,Financial services,Geneva,1993,Commodity trading
218,Transocean,Oil & gas,Exploration & production,Vernier,1973,Offshore drilling
219,Trisa,Consumer goods,Personal goods,Triengen,1887,Personal care products
220,u-blox,Technology,Computer hardware,Thalwil,1997,Computer hardware and software
221,UBS,Financials,Banks,Zürich,1862,Banking
222,Ulysse Nardin,Consumer goods,Clothing & accessories,Le Locle,1846,Watches
